bidding_exercise,date,year,category,quota,price,total_bids,success_bids
November 2021 First Open Bidding Exercise,2021-11-03,2021,Cat A (Cars up to 1600cc and 97kW),536,53709,834,531
October 2021 Second Open Bidding Exercise,2021-10-20,2021,Cat A (Cars up to 1600cc and 97kW),811,52709,1304,806
October 2021 First Open Bidding Exercise,2021-10-06,2021,Cat A (Cars up to 1600cc and 97kW),816,47001,1077,812
September 2021 Second Open Bidding Exercise,2021-09-22,2021,Cat A (Cars up to 1600cc and 97kW),803,48000,1040,795
September 2021 First Open Bidding Exercise,2021-09-08,2021,Cat A (Cars up to 1600cc and 97kW),804,47000,1124,790
August 2021 Second Open Bidding Exercise,2021-08-18,2021,Cat A (Cars up to 1600cc and 97kW),806,46689,1127,806
August 2021 First Open Bidding Exercise,2021-08-04,2021,Cat A (Cars up to 1600cc and 97kW),805,45189,1021,804
July 2021 Second Open Bidding Exercise,2021-07-22,2021,Cat A (Cars up to 1600cc and 97kW),836,47010,1240,832
July 2021 First Open Bidding Exercise,2021-07-07,2021,Cat A (Cars up to 1600cc and 97kW),867,45001,1149,864
June 2021 Second Open Bidding Exercise,2021-06-23,2021,Cat A (Cars up to 1600cc and 97kW),830,47821,1178,823
June 2021 First Open Bidding Exercise,2021-06-09,2021,Cat A (Cars up to 1600cc and 97kW),858,48510,1439,820
May 2021 Second Open Bidding Exercise,2021-05-19,2021,Cat A (Cars up to 1600cc and 97kW),835,41801,1209,834
May 2021 First Open Bidding Exercise,2021-05-05,2021,Cat A (Cars up to 1600cc and 97kW),832,48002,1100,803
April 2021 Second Open Bidding Exercise,2021-04-21,2021,Cat A (Cars up to 1600cc and 97kW),890,49640,1290,883
April 2021 First Open Bidding Exercise,2021-04-07,2021,Cat A (Cars up to 1600cc and 97kW),883,45600,1212,880
March 2021 Second Open Bidding Exercise,2021-03-17,2021,Cat A (Cars up to 1600cc and 97kW),886,44589,1186,879
March 2021 First Open Bidding Exercise,2021-03-03,2021,Cat A (Cars up to 1600cc and 97kW),887,41996,1175,887
February 2021 Second Open Bidding Exercise,2021-02-17,2021,Cat A (Cars up to 1600cc and 97kW),903,41001,1226,900
February 2021 First Open Bidding Exercise,2021-02-03,2021,Cat A (Cars up to 1600cc and 97kW),885,42000,1098,881
January 2021 Second Open Bidding Exercise,2021-01-20,2021,Cat A (Cars up to 1600cc and 97kW),963,40609,1280,962
January 2021 First Open Bidding Exercise,2021-01-06,2021,Cat A (Cars up to 1600cc and 97kW),963,40609,1280,962
December 2020 Second Open Bidding Exercise,2020-12-23,2020,Cat A (Cars up to 1600cc and 97kW),969,40556,1403,966
December 2020 First Open Bidding Exercise,2020-12-09,2020,Cat A (Cars up to 1600cc and 97kW),978,40714,1620,978
November 2020 Second Open Bidding Exercise,2020-11-18,2020,Cat A (Cars up to 1600cc and 97kW),972,37690,1361,966
November 2020 First Open Bidding Exercise,2020-11-04,2020,Cat A (Cars up to 1600cc and 97kW),967,35990,1262,952
October 2020 Second Open Bidding Exercise,2020-10-21,2020,Cat A (Cars up to 1600cc and 97kW),916,37334,1323,907
October 2020 First Open Bidding Exercise,2020-10-07,2020,Cat A (Cars up to 1600cc and 97kW),912,36534,1272,907
September 2020 Second Open Bidding Exercise,2020-09-23,2020,Cat A (Cars up to 1600cc and 97kW),1034,38504,1540,1031
September 2020 First Open Bidding Exercise,2020-09-09,2020,Cat A (Cars up to 1600cc and 97kW),1035,37766,1737,1035
August 2020 Second Open Bidding Exercise,2020-08-19,2020,Cat A (Cars up to 1600cc and 97kW),1034,35710,2099,1019
August 2020 First Open Bidding Exercise,2020-08-05,2020,Cat A (Cars up to 1600cc and 97kW),1022,33000,2047,1007
July 2020 Second Open Bidding Exercise,2020-07-22,2020,Cat A (Cars up to 1600cc and 97kW),1304,32699,2485,1290
July 2020 First Open Bidding Exercise,2020-07-08,2020,Cat A (Cars up to 1600cc and 97kW),1289,33520,3061,1286
March 2020 Second Open Bidding Exercise,2020-03-18,2020,Cat A (Cars up to 1600cc and 97kW),982,31210,1421,962
March 2020 First Open Bidding Exercise,2020-03-04,2020,Cat A (Cars up to 1600cc and 97kW),978,32699,1436,973
February 2020 Second Open Bidding Exercise,2020-02-19,2020,Cat A (Cars up to 1600cc and 97kW),982,32999,1564,973
February 2020 First Open Bidding Exercise,2020-02-05,2020,Cat A (Cars up to 1600cc and 97kW),982,30010,1204,977
January 2020 Second Open Bidding Exercise,2020-01-22,2020,Cat A (Cars up to 1600cc and 97kW),1034,35010,1390,1025
January 2020 First Open Bidding Exercise,2020-01-08,2020,Cat A (Cars up to 1600cc and 97kW),1035,35320,1450,1026
December 2019 Second Open Bidding Exercise,2019-12-18,2019,Cat A (Cars up to 1600cc and 97kW),1029,32889,1256,1013
December 2019 First Open Bidding Exercise,2019-12-04,2019,Cat A (Cars up to 1600cc and 97kW),1030,33009,1386,1013
November 2019 Second Open Bidding Exercise,2019-11-20,2019,Cat A (Cars up to 1600cc and 97kW),1023,32000,1468,1012
November 2019 First Open Bidding Exercise,2019-11-06,2019,Cat A (Cars up to 1600cc and 97kW),1043,30000,1302,1031
October 2019 Second Open Bidding Exercise,2019-10-23,2019,Cat A (Cars up to 1600cc and 97kW),1060,32309,1467,1056
October 2019 First Open Bidding Exercise,2019-10-09,2019,Cat A (Cars up to 1600cc and 97kW),1057,34001,1659,1033
September 2019 Second Open Bidding Exercise,2019-09-18,2019,Cat A (Cars up to 1600cc and 97kW),1056,31759,1453,1053
September 2019 First Open Bidding Exercise,2019-09-04,2019,Cat A (Cars up to 1600cc and 97kW),1056,31783,1656,1056
August 2019 Second Open Bidding Exercise,2019-08-21,2019,Cat A (Cars up to 1600cc and 97kW),1062,31917,1725,1062
August 2019 First Open Bidding Exercise,2019-08-07,2019,Cat A (Cars up to 1600cc and 97kW),1059,32725,2023,1059
July 2019 Second Open Bidding Exercise,2019-07-17,2019,Cat A (Cars up to 1600cc and 97kW),1623,26667,1902,1617
July 2019 First Open Bidding Exercise,2019-07-03,2019,Cat A (Cars up to 1600cc and 97kW),1431,28589,1795,1428
June 2019 Second Open Bidding Exercise,2019-06-19,2019,Cat A (Cars up to 1600cc and 97kW),1424,26999,1742,1225
June 2019 First Open Bidding Exercise,2019-06-06,2019,Cat A (Cars up to 1600cc and 97kW),1424,30009,1902,1417
May 2019 Second Open Bidding Exercise,2019-05-23,2019,Cat A (Cars up to 1600cc and 97kW),1475,27000,1799,1475
May 2019 First Open Bidding Exercise,2019-05-08,2019,Cat A (Cars up to 1600cc and 97kW),1431,36704,1988,1431
April 2019 Second Open Bidding Exercise,2019-04-17,2019,Cat A (Cars up to 1600cc and 97kW),1653,33199,2249,1603
April 2019 First Open Bidding Exercise,2019-04-03,2019,Cat A (Cars up to 1600cc and 97kW),1656,29159,2338,1650
March 2019 Second Open Bidding Exercise,2019-03-20,2019,Cat A (Cars up to 1600cc and 97kW),1650,26659,2204,1647
March 2019 First Open Bidding Exercise,2019-03-06,2019,Cat A (Cars up to 1600cc and 97kW),1659,26309,2213,1653
February 2019 Second Open Bidding Exercise,2019-02-20,2019,Cat A (Cars up to 1600cc and 97kW),1650,26301,2261,1650
February 2019 First Open Bidding Exercise,2019-02-08,2019,Cat A (Cars up to 1600cc and 97kW),1662,25689,2371,1653
January 2019 Second Open Bidding Exercise,2019-01-23,2019,Cat A (Cars up to 1600cc and 97kW),1818,26170,2864,1818
January 2019 First Open Bidding Exercise,2019-01-09,2019,Cat A (Cars up to 1600cc and 97kW),1815,25920,2707,1804
December 2018 Second Open Bidding Exercise,2018-12-19,2018,Cat A (Cars up to 1600cc and 97kW),1890,25501,2729,1887
December 2018 First Open Bidding Exercise,2018-12-05,2018,Cat A (Cars up to 1600cc and 97kW),1878,23568,2177,1878
November 2018 Second Open Bidding Exercise,2018-11-21,2018,Cat A (Cars up to 1600cc and 97kW),1818,25000,2231,1744
November 2018 First Open Bidding Exercise,2018-11-08,2018,Cat A (Cars up to 1600cc and 97kW),1819,28199,2849,1757
October 2018 Second Open Bidding Exercise,2018-10-17,2018,Cat A (Cars up to 1600cc and 97kW),1674,25556,1811,1672
October 2018 First Open Bidding Exercise,2018-10-03,2018,Cat A (Cars up to 1600cc and 97kW),1668,28457,2059,1665
September 2018 Second Open Bidding Exercise,2018-09-19,2018,Cat A (Cars up to 1600cc and 97kW),1664,28000,2059,1655
September 2018 First Open Bidding Exercise,2018-09-05,2018,Cat A (Cars up to 1600cc and 97kW),1664,30209,2488,1661
August 2018 Second Open Bidding Exercise,2018-08-23,2018,Cat A (Cars up to 1600cc and 97kW),1695,31997,2948,1695
August 2018 First Open Bidding Exercise,2018-08-08,2018,Cat A (Cars up to 1600cc and 97kW),1672,33798,3633,1672
July 2018 Second Open Bidding Exercise,2018-07-18,2018,Cat A (Cars up to 1600cc and 97kW),1443,32699,3100,1412
July 2018 First Open Bidding Exercise,2018-07-04,2018,Cat A (Cars up to 1600cc and 97kW),1435,25000,1626,1427
June 2018 Second Open Bidding Exercise,2018-06-20,2018,Cat A (Cars up to 1600cc and 97kW),1446,34110,1818,1437
June 2018 First Open Bidding Exercise,2018-06-06,2018,Cat A (Cars up to 1600cc and 97kW),1441,36426,1696,1440
May 2018 Second Open Bidding Exercise,2018-05-23,2018,Cat A (Cars up to 1600cc and 97kW),1434,38001,1805,1422
May 2018 First Open Bidding Exercise,2018-05-09,2018,Cat A (Cars up to 1600cc and 97kW),1435,38941,1836,1428
April 2018 Second Open Bidding Exercise,2018-04-18,2018,Cat A (Cars up to 1600cc and 97kW),1566,38510,2027,1566
April 2018 First Open Bidding Exercise,2018-04-04,2018,Cat A (Cars up to 1600cc and 97kW),1566,37000,1888,1564
March 2018 Second Open Bidding Exercise,2018-03-21,2018,Cat A (Cars up to 1600cc and 97kW),1559,38000,2117,1551
March 2018 First Open Bidding Exercise,2018-03-07,2018,Cat A (Cars up to 1600cc and 97kW),1580,38830,2405,1572
February 2018 Second Open Bidding Exercise,2018-02-21,2018,Cat A (Cars up to 1600cc and 97kW),1562,36810,2073,1561
February 2018 First Open Bidding Exercise,2018-02-07,2018,Cat A (Cars up to 1600cc and 97kW),1557,40000,2389,1534
January 2018 Second Open Bidding Exercise,2018-01-17,2018,Cat A (Cars up to 1600cc and 97kW),1713,36890,1938,1708
January 2018 First Open Bidding Exercise,2018-01-04,2018,Cat A (Cars up to 1600cc and 97kW),1693,41400,2264,1693
December 2017 Second Open Bidding Exercise,2017-12-20,2017,Cat A (Cars up to 1600cc and 97kW),1687,38200,1970,1654
December 2017 First Open Bidding Exercise,2017-12-06,2017,Cat A (Cars up to 1600cc and 97kW),1680,42339,2158,1667
November 2017 Second Open Bidding Exercise,2017-11-22,2017,Cat A (Cars up to 1600cc and 97kW),1686,46791,2721,1679
November 2017 First Open Bidding Exercise,2017-11-08,2017,Cat A (Cars up to 1600cc and 97kW),1683,47112,3430,1683
October 2017 Second Open Bidding Exercise,2017-10-19,2017,Cat A (Cars up to 1600cc and 97kW),1815,41617,2391,1809
October 2017 First Open Bidding Exercise,2017-10-04,2017,Cat A (Cars up to 1600cc and 97kW),1829,41761,2808,1827
September 2017 Second Open Bidding Exercise,2017-09-20,2017,Cat A (Cars up to 1600cc and 97kW),1815,42902,3469,1815
September 2017 First Open Bidding Exercise,2017-09-06,2017,Cat A (Cars up to 1600cc and 97kW),1820,36001,2195,1806
August 2017 Second Open Bidding Exercise,2017-08-23,2017,Cat A (Cars up to 1600cc and 97kW),1817,42900,2148,1817
August 2017 First Open Bidding Exercise,2017-08-10,2017,Cat A (Cars up to 1600cc and 97kW),1817,46778,2403,1812
July 2017 Second Open Bidding Exercise,2017-07-19,2017,Cat A (Cars up to 1600cc and 97kW),1907,44002,2389,1905
July 2017 First Open Bidding Exercise,2017-07-05,2017,Cat A (Cars up to 1600cc and 97kW),1904,42801,2296,1902
June 2017 Second Open Bidding Exercise,2017-06-21,2017,Cat A (Cars up to 1600cc and 97kW),1906,42801,2302,1898
June 2017 First Open Bidding Exercise,2017-06-07,2017,Cat A (Cars up to 1600cc and 97kW),1898,45201,2245,1893
May 2017 Second Open Bidding Exercise,2017-05-24,2017,Cat A (Cars up to 1600cc and 97kW),1920,46489,2601,1913
