bidding_exercise,date,year,category,quota,price,total_bids,success_bids,population,registration,deregistration,cpi_car,cpi_transport,cpi_petrol,cpi_car_pct_change,cpi_transport_pct_change,cpi_petrol_pct_change
February 2014 First Open Bidding Exercise,2014-02-05,2014,Cat A (Cars up to 1600cc and 97kW),362,71564,719,356,341169.0,754.0,1104.0,114.83,102.036,94.412,0.4,0.6,0.0
February 2014 Second Open Bidding Exercise,2014-02-19,2014,Cat A (Cars up to 1600cc and 97kW),362,77201,700,358,341169.0,754.0,1104.0,114.83,102.036,94.412,0.4,0.6,0.0
March 2014 First Open Bidding Exercise,2014-03-05,2014,Cat A (Cars up to 1600cc and 97kW),365,76999,615,356,340645.0,806.0,1330.0,116.761,102.641,95.497,1.7,0.6,1.1
March 2014 Second Open Bidding Exercise,2014-03-19,2014,Cat A (Cars up to 1600cc and 97kW),362,78602,577,360,340645.0,806.0,1330.0,116.761,102.641,95.497,1.7,0.6,1.1
April 2014 First Open Bidding Exercise,2014-04-09,2014,Cat A (Cars up to 1600cc and 97kW),367,77400,537,360,340066.0,768.0,1347.0,115.245,102.686,95.919,-1.3,0.0,0.4
April 2014 Second Open Bidding Exercise,2014-04-23,2014,Cat A (Cars up to 1600cc and 97kW),361,71335,513,357,340066.0,768.0,1347.0,115.245,102.686,95.919,-1.3,0.0,0.4
May 2014 First Open Bidding Exercise,2014-05-07,2014,Cat A (Cars up to 1600cc and 97kW),513,60002,676,512,339700.0,905.0,1271.0,110.33,101.021,96.53,-4.3,-1.6,0.6
May 2014 Second Open Bidding Exercise,2014-05-21,2014,Cat A (Cars up to 1600cc and 97kW),509,65689,997,506,339700.0,905.0,1271.0,110.33,101.021,96.53,-4.3,-1.6,0.6
June 2014 First Open Bidding Exercise,2014-06-04,2014,Cat A (Cars up to 1600cc and 97kW),507,63190,1040,499,339372.0,963.0,1291.0,109.561,100.813,96.927,-0.7,-0.2,0.4
June 2014 Second Open Bidding Exercise,2014-06-18,2014,Cat A (Cars up to 1600cc and 97kW),509,61899,1040,506,339372.0,963.0,1291.0,109.561,100.813,96.927,-0.7,-0.2,0.4
July 2014 First Open Bidding Exercise,2014-07-09,2014,Cat A (Cars up to 1600cc and 97kW),513,61990,1075,511,338802.0,937.0,1507.0,108.564,100.617,97.415,-0.9,-0.2,0.5
July 2014 Second Open Bidding Exercise,2014-07-23,2014,Cat A (Cars up to 1600cc and 97kW),509,62890,1190,505,338802.0,937.0,1507.0,108.564,100.617,97.415,-0.9,-0.2,0.5
August 2014 First Open Bidding Exercise,2014-08-06,2014,Cat A (Cars up to 1600cc and 97kW),574,64600,1086,574,338468.0,1081.0,1415.0,110.938,101.04,95.159,2.2,0.4,-2.3
August 2014 Second Open Bidding Exercise,2014-08-20,2014,Cat A (Cars up to 1600cc and 97kW),575,65710,994,574,338468.0,1081.0,1415.0,110.938,101.04,95.159,2.2,0.4,-2.3
September 2014 First Open Bidding Exercise,2014-09-03,2014,Cat A (Cars up to 1600cc and 97kW),572,64841,813,568,337849.0,1256.0,1875.0,110.623,100.825,94.697,-0.3,-0.2,-0.5
September 2014 Second Open Bidding Exercise,2014-09-17,2014,Cat A (Cars up to 1600cc and 97kW),573,62000,792,573,337849.0,1256.0,1875.0,110.623,100.825,94.697,-0.3,-0.2,-0.5
October 2014 First Open Bidding Exercise,2014-10-09,2014,Cat A (Cars up to 1600cc and 97kW),575,63880,1097,570,337030.0,1261.0,2080.0,110.22,100.456,92.601,-0.4,-0.4,-2.2
October 2014 Second Open Bidding Exercise,2014-10-23,2014,Cat A (Cars up to 1600cc and 97kW),572,63990,1092,569,337030.0,1261.0,2080.0,110.22,100.456,92.601,-0.4,-0.4,-2.2
