date,category,quota,price,total_bids,success_bids,population,registration,deregistration,cpi_car,cpi_transport,cpi_petrol,cpi_car_pct_change,cpi_transport_pct_change,cpi_petrol_pct_change,month,bid_quota_ratio,quota_pct_change,price_pct_change,total_bids_pct_change,success_bids_pct_change
2014-02-05,Cat B (Cars above 1600cc or 97kW),360,75300,523,360,280081.0,1105.0,926.0,114.83,102.036,94.412,0.4,0.6,0.0,2,1.4527777777777777,-0.0055248618784530246,0.05220501928343868,-0.2726008344923505,0.011235955056179803
2014-02-19,Cat B (Cars above 1600cc or 97kW),355,78604,519,353,280081.0,1105.0,926.0,114.83,102.036,94.412,0.4,0.6,0.0,2,1.4619718309859155,-0.01388888888888884,0.04387782204515278,-0.007648183556405397,-0.019444444444444486
2014-02-19,Cat A (Cars up to 1600cc and 97kW),362,77201,700,358,341169.0,754.0,1104.0,114.83,102.036,94.412,0.4,0.6,0.0,2,1.9337016574585635,0.019718309859154903,-0.01784896442929118,0.34874759152215806,0.014164305949008416
2014-03-05,Cat A (Cars up to 1600cc and 97kW),365,76999,615,356,340645.0,806.0,1330.0,116.761,102.641,95.497,1.7,0.6,1.1,3,1.6849315068493151,0.008287292817679592,-0.00261654641779252,-0.12142857142857144,-0.005586592178770999
2014-03-05,Cat B (Cars above 1600cc or 97kW),350,80710,499,337,279927.0,1154.0,1308.0,116.761,102.641,95.497,1.7,0.6,1.1,3,1.4257142857142857,-0.04109589041095896,0.04819543110949498,-0.18861788617886177,-0.053370786516853896
2014-03-19,Cat A (Cars up to 1600cc and 97kW),362,78602,577,360,340645.0,806.0,1330.0,116.761,102.641,95.497,1.7,0.6,1.1,3,1.5939226519337018,0.03428571428571425,-0.026118200966423033,0.15631262525050094,0.06824925816023741
2014-03-19,Cat B (Cars above 1600cc or 97kW),353,82900,524,352,279927.0,1154.0,1308.0,116.761,102.641,95.497,1.7,0.6,1.1,3,1.4844192634560907,-0.024861878453038666,0.054680542479835115,-0.09185441941074524,-0.022222222222222254
2014-04-09,Cat A (Cars up to 1600cc and 97kW),367,77400,537,360,340066.0,768.0,1347.0,115.245,102.686,95.919,-1.3,0.0,0.4,4,1.4632152588555858,0.03966005665722383,-0.06634499396863691,0.024809160305343525,0.022727272727272707
2014-04-09,Cat B (Cars above 1600cc or 97kW),363,84504,523,363,279823.0,964.0,1068.0,115.245,102.686,95.919,-1.3,0.0,0.4,4,1.440771349862259,-0.010899182561307952,0.09178294573643409,-0.02607076350093107,0.008333333333333304
2014-04-23,Cat B (Cars above 1600cc or 97kW),351,75010,486,349,279823.0,964.0,1068.0,115.245,102.686,95.919,-1.3,0.0,0.4,4,1.3846153846153846,-0.03305785123966942,-0.11234971125627191,-0.07074569789674956,-0.038567493112947604
2014-04-23,Cat A (Cars up to 1600cc and 97kW),361,71335,513,357,340066.0,768.0,1347.0,115.245,102.686,95.919,-1.3,0.0,0.4,4,1.4210526315789473,0.028490028490028463,-0.04899346753766165,0.05555555555555558,0.022922636103151817
2014-05-07,Cat B (Cars above 1600cc or 97kW),483,70002,778,472,279944.0,1222.0,1101.0,110.33,101.021,96.53,-4.3,-1.6,0.6,5,1.6107660455486543,0.33795013850415523,-0.018686479287867153,0.5165692007797271,0.3221288515406162
2014-05-07,Cat A (Cars up to 1600cc and 97kW),513,60002,676,512,339700.0,905.0,1271.0,110.33,101.021,96.53,-4.3,-1.6,0.6,5,1.3177387914230019,0.06211180124223592,-0.14285306134110454,-0.1311053984575835,0.0847457627118644
2014-05-21,Cat B (Cars above 1600cc or 97kW),484,68103,716,477,279944.0,1222.0,1101.0,110.33,101.021,96.53,-4.3,-1.6,0.6,5,1.4793388429752066,-0.05653021442495132,0.13501216626112456,0.059171597633136175,-0.068359375
2014-05-21,Cat A (Cars up to 1600cc and 97kW),509,65689,997,506,339700.0,905.0,1271.0,110.33,101.021,96.53,-4.3,-1.6,0.6,5,1.9587426326129667,0.051652892561983466,-0.03544630926684578,0.39245810055865915,0.06079664570230614
2014-06-04,Cat B (Cars above 1600cc or 97kW),494,67304,807,484,280254.0,1437.0,1127.0,109.561,100.813,96.927,-0.7,-0.2,0.4,6,1.6336032388663968,-0.029469548133595258,0.024585547047450973,-0.19057171514543636,-0.04347826086956519
2014-06-04,Cat A (Cars up to 1600cc and 97kW),507,63190,1040,499,339372.0,963.0,1291.0,109.561,100.813,96.927,-0.7,-0.2,0.4,6,2.051282051282051,0.026315789473684292,-0.06112563889219069,0.28872366790582404,0.030991735537190035
2014-06-18,Cat B (Cars above 1600cc or 97kW),490,65700,716,475,280254.0,1437.0,1127.0,109.561,100.813,96.927,-0.7,-0.2,0.4,6,1.4612244897959183,-0.0335305719921104,0.03972147491691724,-0.31153846153846154,-0.04809619238476959
2014-06-18,Cat A (Cars up to 1600cc and 97kW),509,61899,1040,506,339372.0,963.0,1291.0,109.561,100.813,96.927,-0.7,-0.2,0.4,6,2.043222003929273,0.038775510204081653,-0.057853881278538855,0.45251396648044695,0.06526315789473691
2014-07-09,Cat B (Cars above 1600cc or 97kW),493,64889,812,491,280349.0,1312.0,1217.0,108.564,100.617,97.415,-0.9,-0.2,0.5,7,1.6470588235294117,-0.03143418467583492,0.048304496033861666,-0.21923076923076923,-0.029644268774703608
2014-07-09,Cat A (Cars up to 1600cc and 97kW),513,61990,1075,511,338802.0,937.0,1507.0,108.564,100.617,97.415,-0.9,-0.2,0.5,7,2.0955165692007798,0.04056795131845847,-0.04467629336251133,0.32389162561576357,0.04073319755600813
2014-07-23,Cat B (Cars above 1600cc or 97kW),498,65001,850,497,280349.0,1312.0,1217.0,108.564,100.617,97.415,-0.9,-0.2,0.5,7,1.7068273092369477,-0.0292397660818714,0.048572350379093354,-0.2093023255813954,-0.0273972602739726
2014-07-23,Cat A (Cars up to 1600cc and 97kW),509,62890,1190,505,338802.0,937.0,1507.0,108.564,100.617,97.415,-0.9,-0.2,0.5,7,2.337917485265226,0.02208835341365467,-0.03247642343963941,0.3999999999999999,0.016096579476861272
2014-08-06,Cat A (Cars up to 1600cc and 97kW),574,64600,1086,574,338468.0,1081.0,1415.0,110.938,101.04,95.159,2.2,0.4,-2.3,8,1.89198606271777,0.12770137524557956,0.027190332326284095,-0.0873949579831933,0.13663366336633653
2014-08-06,Cat B (Cars above 1600cc or 97kW),507,68689,1090,501,280602.0,1477.0,1224.0,110.938,101.04,95.159,2.2,0.4,-2.3,8,2.1499013806706113,-0.11672473867595823,0.06329721362229113,0.0036832412523020164,-0.127177700348432
2014-08-20,Cat A (Cars up to 1600cc and 97kW),575,65710,994,574,338468.0,1081.0,1415.0,110.938,101.04,95.159,2.2,0.4,-2.3,8,1.728695652173913,0.13412228796844183,-0.04336938956747083,-0.08807339449541285,0.1457085828343314
2014-08-20,Cat B (Cars above 1600cc or 97kW),506,72990,1137,502,280602.0,1477.0,1224.0,110.938,101.04,95.159,2.2,0.4,-2.3,8,2.2470355731225298,-0.12,0.11078983411961651,0.14386317907444668,-0.12543554006968638
2014-09-03,Cat B (Cars above 1600cc or 97kW),511,73010,909,511,280968.0,1678.0,1312.0,110.623,100.825,94.697,-0.3,-0.2,-0.5,9,1.7788649706457926,0.009881422924901129,0.0002740101383751359,-0.20052770448548818,0.017928286852589626
2014-09-03,Cat A (Cars up to 1600cc and 97kW),572,64841,813,568,337849.0,1256.0,1875.0,110.623,100.825,94.697,-0.3,-0.2,-0.5,9,1.4213286713286712,0.11937377690802342,-0.11188878235858102,-0.10561056105610556,0.11154598825831696
2014-09-17,Cat A (Cars up to 1600cc and 97kW),573,62000,792,573,337849.0,1256.0,1875.0,110.623,100.825,94.697,-0.3,-0.2,-0.5,9,1.382198952879581,0.0017482517482516613,-0.04381487022100217,-0.02583025830258301,0.008802816901408494
2014-09-17,Cat B (Cars above 1600cc or 97kW),509,71990,785,507,280968.0,1678.0,1312.0,110.623,100.825,94.697,-0.3,-0.2,-0.5,9,1.5422396856581533,-0.11169284467713791,0.16112903225806452,-0.008838383838383868,-0.11518324607329844
2014-10-09,Cat A (Cars up to 1600cc and 97kW),575,63880,1097,570,337030.0,1261.0,2080.0,110.22,100.456,92.601,-0.4,-0.4,-2.2,10,1.9078260869565218,0.12966601178781922,-0.11265453535213221,0.39745222929936297,0.12426035502958577
2014-10-09,Cat B (Cars above 1600cc or 97kW),505,72180,852,501,281022.0,1487.0,1433.0,110.22,100.456,92.601,-0.4,-0.4,-2.2,10,1.687128712871287,-0.12173913043478257,0.12993112085159675,-0.22333637192342748,-0.12105263157894741
2014-10-23,Cat A (Cars up to 1600cc and 97kW),572,63990,1092,569,337030.0,1261.0,2080.0,110.22,100.456,92.601,-0.4,-0.4,-2.2,10,1.9090909090909092,0.13267326732673257,-0.11346633416458851,0.2816901408450705,0.1357285429141717
