date,category,quota,price,total_bids,success_bids,population,registration,deregistration,cpi_car,cpi_transport,cpi_petrol,cpi_car_pct_change,cpi_transport_pct_change,cpi_petrol_pct_change,month,bid_quota_ratio,quota_pct_change,price_pct_change,total_bids_pct_change,success_bids_pct_change
2014-02-19,Cat A (Cars up to 1600cc and 97kW),362,77201,700,358,341169.0,754.0,1104.0,114.83,102.036,94.412,0.4,0.6,0.0,2,1.9337016574585635,0.0,0.07876865463081995,-0.026425591098748313,0.00561797752808979
2014-03-05,Cat A (Cars up to 1600cc and 97kW),365,76999,615,356,340645.0,806.0,1330.0,116.761,102.641,95.497,1.7,0.6,1.1,3,1.6849315068493151,0.008287292817679592,-0.00261654641779252,-0.12142857142857144,-0.005586592178770999
2014-03-19,Cat A (Cars up to 1600cc and 97kW),362,78602,577,360,340645.0,806.0,1330.0,116.761,102.641,95.497,1.7,0.6,1.1,3,1.5939226519337018,-0.008219178082191747,0.02081845218769085,-0.06178861788617884,0.011235955056179803
2014-04-09,Cat A (Cars up to 1600cc and 97kW),367,77400,537,360,340066.0,768.0,1347.0,115.245,102.686,95.919,-1.3,0.0,0.4,4,1.4632152588555858,0.013812154696132506,-0.0152922317498283,-0.06932409012131713,0.0
2014-04-23,Cat A (Cars up to 1600cc and 97kW),361,71335,513,357,340066.0,768.0,1347.0,115.245,102.686,95.919,-1.3,0.0,0.4,4,1.4210526315789473,-0.016348773841961872,-0.078359173126615,-0.04469273743016755,-0.008333333333333304
2014-05-07,Cat A (Cars up to 1600cc and 97kW),513,60002,676,512,339700.0,905.0,1271.0,110.33,101.021,96.53,-4.3,-1.6,0.6,5,1.3177387914230019,0.42105263157894735,-0.15887011985701271,0.3177387914230019,0.4341736694677871
2014-05-21,Cat A (Cars up to 1600cc and 97kW),509,65689,997,506,339700.0,905.0,1271.0,110.33,101.021,96.53,-4.3,-1.6,0.6,5,1.9587426326129667,-0.007797270955165692,0.09478017399420025,0.4748520710059172,-0.01171875
2014-06-04,Cat A (Cars up to 1600cc and 97kW),507,63190,1040,499,339372.0,963.0,1291.0,109.561,100.813,96.927,-0.7,-0.2,0.4,6,2.051282051282051,-0.003929273084479323,-0.03804289911552927,0.04312938816449341,-0.013833992094861691
2014-06-18,Cat A (Cars up to 1600cc and 97kW),509,61899,1040,506,339372.0,963.0,1291.0,109.561,100.813,96.927,-0.7,-0.2,0.4,6,2.043222003929273,0.0039447731755424265,-0.020430447855673384,0.0,0.014028056112224352
2014-07-09,Cat A (Cars up to 1600cc and 97kW),513,61990,1075,511,338802.0,937.0,1507.0,108.564,100.617,97.415,-0.9,-0.2,0.5,7,2.0955165692007798,0.007858546168958647,0.0014701368358132072,0.033653846153846256,0.009881422924901129
2014-07-23,Cat A (Cars up to 1600cc and 97kW),509,62890,1190,505,338802.0,937.0,1507.0,108.564,100.617,97.415,-0.9,-0.2,0.5,7,2.337917485265226,-0.007797270955165692,0.014518470721084142,0.10697674418604652,-0.011741682974559686
2014-08-06,Cat A (Cars up to 1600cc and 97kW),574,64600,1086,574,338468.0,1081.0,1415.0,110.938,101.04,95.159,2.2,0.4,-2.3,8,1.89198606271777,0.12770137524557956,0.027190332326284095,-0.0873949579831933,0.13663366336633653
