bidding_exercise,date,year,category,quota,price,total_bids,success_bids,population,registration,deregistration
September 2021 Second Open Bidding Exercise,2021-09-22,2021,Cat A (Cars up to 1600cc and 97kW),803,48000,1040,795,321025.0,1484.0,1039.0
September 2021 First Open Bidding Exercise,2021-09-08,2021,Cat A (Cars up to 1600cc and 97kW),804,47000,1124,790,321025.0,1484.0,1039.0
August 2021 Second Open Bidding Exercise,2021-08-18,2021,Cat A (Cars up to 1600cc and 97kW),806,46689,1127,806,320580.0,1251.0,1256.0
August 2021 First Open Bidding Exercise,2021-08-04,2021,Cat A (Cars up to 1600cc and 97kW),805,45189,1021,804,320580.0,1251.0,1256.0
July 2021 Second Open Bidding Exercise,2021-07-22,2021,Cat A (Cars up to 1600cc and 97kW),836,47010,1240,832,320585.0,1598.0,1249.0
July 2021 First Open Bidding Exercise,2021-07-07,2021,Cat A (Cars up to 1600cc and 97kW),867,45001,1149,864,320585.0,1598.0,1249.0
June 2021 Second Open Bidding Exercise,2021-06-23,2021,Cat A (Cars up to 1600cc and 97kW),830,47821,1178,823,320236.0,1932.0,1864.0
June 2021 First Open Bidding Exercise,2021-06-09,2021,Cat A (Cars up to 1600cc and 97kW),858,48510,1439,820,320236.0,1932.0,1864.0
May 2021 Second Open Bidding Exercise,2021-05-19,2021,Cat A (Cars up to 1600cc and 97kW),835,41801,1209,834,320168.0,1519.0,1872.0
May 2021 First Open Bidding Exercise,2021-05-05,2021,Cat A (Cars up to 1600cc and 97kW),832,48002,1100,803,320168.0,1519.0,1872.0
April 2021 Second Open Bidding Exercise,2021-04-21,2021,Cat A (Cars up to 1600cc and 97kW),890,49640,1290,883,320521.0,1683.0,1607.0
April 2021 First Open Bidding Exercise,2021-04-07,2021,Cat A (Cars up to 1600cc and 97kW),883,45600,1212,880,320521.0,1683.0,1607.0
March 2021 Second Open Bidding Exercise,2021-03-17,2021,Cat A (Cars up to 1600cc and 97kW),886,44589,1186,879,320445.0,1888.0,1918.0
March 2021 First Open Bidding Exercise,2021-03-03,2021,Cat A (Cars up to 1600cc and 97kW),887,41996,1175,887,320445.0,1888.0,1918.0
February 2021 Second Open Bidding Exercise,2021-02-17,2021,Cat A (Cars up to 1600cc and 97kW),903,41001,1226,900,320475.0,1537.0,1268.0
February 2021 First Open Bidding Exercise,2021-02-03,2021,Cat A (Cars up to 1600cc and 97kW),885,42000,1098,881,320475.0,1537.0,1268.0
January 2021 Second Open Bidding Exercise,2021-01-20,2021,Cat A (Cars up to 1600cc and 97kW),963,40609,1280,962,320206.0,2452.0,1383.0
January 2021 First Open Bidding Exercise,2021-01-06,2021,Cat A (Cars up to 1600cc and 97kW),963,40609,1280,962,320206.0,2452.0,1383.0
December 2020 Second Open Bidding Exercise,2020-12-23,2020,Cat A (Cars up to 1600cc and 97kW),969,40556,1403,966,319137.0,1291.0,1425.0
December 2020 First Open Bidding Exercise,2020-12-09,2020,Cat A (Cars up to 1600cc and 97kW),978,40714,1620,978,319137.0,1291.0,1425.0
November 2020 Second Open Bidding Exercise,2020-11-18,2020,Cat A (Cars up to 1600cc and 97kW),972,37690,1361,966,319271.0,1819.0,1506.0
November 2020 First Open Bidding Exercise,2020-11-04,2020,Cat A (Cars up to 1600cc and 97kW),967,35990,1262,952,319271.0,1819.0,1506.0
October 2020 Second Open Bidding Exercise,2020-10-21,2020,Cat A (Cars up to 1600cc and 97kW),916,37334,1323,907,318958.0,2091.0,1518.0
October 2020 First Open Bidding Exercise,2020-10-07,2020,Cat A (Cars up to 1600cc and 97kW),912,36534,1272,907,318958.0,2091.0,1518.0
September 2020 Second Open Bidding Exercise,2020-09-23,2020,Cat A (Cars up to 1600cc and 97kW),1034,38504,1540,1031,318385.0,1978.0,1537.0
September 2020 First Open Bidding Exercise,2020-09-09,2020,Cat A (Cars up to 1600cc and 97kW),1035,37766,1737,1035,318385.0,1978.0,1537.0
August 2020 Second Open Bidding Exercise,2020-08-19,2020,Cat A (Cars up to 1600cc and 97kW),1034,35710,2099,1019,317944.0,2277.0,1750.0
August 2020 First Open Bidding Exercise,2020-08-05,2020,Cat A (Cars up to 1600cc and 97kW),1022,33000,2047,1007,317944.0,2277.0,1750.0
July 2020 Second Open Bidding Exercise,2020-07-22,2020,Cat A (Cars up to 1600cc and 97kW),1304,32699,2485,1290,317417.0,1909.0,1697.0
July 2020 First Open Bidding Exercise,2020-07-08,2020,Cat A (Cars up to 1600cc and 97kW),1289,33520,3061,1286,317417.0,1909.0,1697.0
March 2020 Second Open Bidding Exercise,2020-03-18,2020,Cat A (Cars up to 1600cc and 97kW),982,31210,1421,962,321127.0,2250.0,2397.0
March 2020 First Open Bidding Exercise,2020-03-04,2020,Cat A (Cars up to 1600cc and 97kW),978,32699,1436,973,321127.0,2250.0,2397.0
February 2020 Second Open Bidding Exercise,2020-02-19,2020,Cat A (Cars up to 1600cc and 97kW),982,32999,1564,973,321274.0,2028.0,1778.0
February 2020 First Open Bidding Exercise,2020-02-05,2020,Cat A (Cars up to 1600cc and 97kW),982,30010,1204,977,321274.0,2028.0,1778.0
January 2020 Second Open Bidding Exercise,2020-01-22,2020,Cat A (Cars up to 1600cc and 97kW),1034,35010,1390,1025,321024.0,2160.0,2239.0
January 2020 First Open Bidding Exercise,2020-01-08,2020,Cat A (Cars up to 1600cc and 97kW),1035,35320,1450,1026,321024.0,2160.0,2239.0
December 2019 Second Open Bidding Exercise,2019-12-18,2019,Cat A (Cars up to 1600cc and 97kW),1029,32889,1256,1013,321103.0,2156.0,2145.0
December 2019 First Open Bidding Exercise,2019-12-04,2019,Cat A (Cars up to 1600cc and 97kW),1030,33009,1386,1013,321103.0,2156.0,2145.0
November 2019 Second Open Bidding Exercise,2019-11-20,2019,Cat A (Cars up to 1600cc and 97kW),1023,32000,1468,1012,321092.0,2447.0,2143.0
November 2019 First Open Bidding Exercise,2019-11-06,2019,Cat A (Cars up to 1600cc and 97kW),1043,30000,1302,1031,321092.0,2447.0,2143.0
October 2019 Second Open Bidding Exercise,2019-10-23,2019,Cat A (Cars up to 1600cc and 97kW),1060,32309,1467,1056,320788.0,2202.0,2192.0
October 2019 First Open Bidding Exercise,2019-10-09,2019,Cat A (Cars up to 1600cc and 97kW),1057,34001,1659,1033,320788.0,2202.0,2192.0
September 2019 Second Open Bidding Exercise,2019-09-18,2019,Cat A (Cars up to 1600cc and 97kW),1056,31759,1453,1053,320778.0,2567.0,2146.0
September 2019 First Open Bidding Exercise,2019-09-04,2019,Cat A (Cars up to 1600cc and 97kW),1056,31783,1656,1056,320778.0,2567.0,2146.0
August 2019 Second Open Bidding Exercise,2019-08-21,2019,Cat A (Cars up to 1600cc and 97kW),1062,31917,1725,1062,320357.0,2390.0,2176.0
August 2019 First Open Bidding Exercise,2019-08-07,2019,Cat A (Cars up to 1600cc and 97kW),1059,32725,2023,1059,320357.0,2390.0,2176.0
July 2019 Second Open Bidding Exercise,2019-07-17,2019,Cat A (Cars up to 1600cc and 97kW),1623,26667,1902,1617,320143.0,3658.0,2450.0
