bidding_exercise,date,year,category,quota,price,total_bids,success_bids,population,registration,deregistration,cpi_car,cpi_transport,cpi_petrol,cpi_car_pct_change,cpi_transport_pct_change,cpi_petrol_pct_change
February 2014 First Open Bidding Exercise,2014-02-05,2014,Cat B (Cars above 1600cc or 97kW),360,75300,523,360,280081.0,1105.0,926.0,114.83,102.036,94.412,0.4,0.6,0.0
February 2014 Second Open Bidding Exercise,2014-02-19,2014,Cat B (Cars above 1600cc or 97kW),355,78604,519,353,280081.0,1105.0,926.0,114.83,102.036,94.412,0.4,0.6,0.0
March 2014 First Open Bidding Exercise,2014-03-05,2014,Cat B (Cars above 1600cc or 97kW),350,80710,499,337,279927.0,1154.0,1308.0,116.761,102.641,95.497,1.7,0.6,1.1
March 2014 Second Open Bidding Exercise,2014-03-19,2014,Cat B (Cars above 1600cc or 97kW),353,82900,524,352,279927.0,1154.0,1308.0,116.761,102.641,95.497,1.7,0.6,1.1
April 2014 First Open Bidding Exercise,2014-04-09,2014,Cat B (Cars above 1600cc or 97kW),363,84504,523,363,279823.0,964.0,1068.0,115.245,102.686,95.919,-1.3,0.0,0.4
April 2014 Second Open Bidding Exercise,2014-04-23,2014,Cat B (Cars above 1600cc or 97kW),351,75010,486,349,279823.0,964.0,1068.0,115.245,102.686,95.919,-1.3,0.0,0.4
May 2014 First Open Bidding Exercise,2014-05-07,2014,Cat B (Cars above 1600cc or 97kW),483,70002,778,472,279944.0,1222.0,1101.0,110.33,101.021,96.53,-4.3,-1.6,0.6
May 2014 Second Open Bidding Exercise,2014-05-21,2014,Cat B (Cars above 1600cc or 97kW),484,68103,716,477,279944.0,1222.0,1101.0,110.33,101.021,96.53,-4.3,-1.6,0.6
June 2014 First Open Bidding Exercise,2014-06-04,2014,Cat B (Cars above 1600cc or 97kW),494,67304,807,484,280254.0,1437.0,1127.0,109.561,100.813,96.927,-0.7,-0.2,0.4
June 2014 Second Open Bidding Exercise,2014-06-18,2014,Cat B (Cars above 1600cc or 97kW),490,65700,716,475,280254.0,1437.0,1127.0,109.561,100.813,96.927,-0.7,-0.2,0.4
July 2014 First Open Bidding Exercise,2014-07-09,2014,Cat B (Cars above 1600cc or 97kW),493,64889,812,491,280349.0,1312.0,1217.0,108.564,100.617,97.415,-0.9,-0.2,0.5
July 2014 Second Open Bidding Exercise,2014-07-23,2014,Cat B (Cars above 1600cc or 97kW),498,65001,850,497,280349.0,1312.0,1217.0,108.564,100.617,97.415,-0.9,-0.2,0.5
August 2014 First Open Bidding Exercise,2014-08-06,2014,Cat B (Cars above 1600cc or 97kW),507,68689,1090,501,280602.0,1477.0,1224.0,110.938,101.04,95.159,2.2,0.4,-2.3
August 2014 Second Open Bidding Exercise,2014-08-20,2014,Cat B (Cars above 1600cc or 97kW),506,72990,1137,502,280602.0,1477.0,1224.0,110.938,101.04,95.159,2.2,0.4,-2.3
September 2014 First Open Bidding Exercise,2014-09-03,2014,Cat B (Cars above 1600cc or 97kW),511,73010,909,511,280968.0,1678.0,1312.0,110.623,100.825,94.697,-0.3,-0.2,-0.5
September 2014 Second Open Bidding Exercise,2014-09-17,2014,Cat B (Cars above 1600cc or 97kW),509,71990,785,507,280968.0,1678.0,1312.0,110.623,100.825,94.697,-0.3,-0.2,-0.5
October 2014 First Open Bidding Exercise,2014-10-09,2014,Cat B (Cars above 1600cc or 97kW),505,72180,852,501,281022.0,1487.0,1433.0,110.22,100.456,92.601,-0.4,-0.4,-2.2
October 2014 Second Open Bidding Exercise,2014-10-23,2014,Cat B (Cars above 1600cc or 97kW),507,72002,822,506,281022.0,1487.0,1433.0,110.22,100.456,92.601,-0.4,-0.4,-2.2
November 2014 First Open Bidding Exercise,2014-11-05,2014,Cat B (Cars above 1600cc or 97kW),574,70890,832,559,281213.0,1640.0,1449.0,110.747,99.94,89.091,0.5,-0.5,-3.8
November 2014 Second Open Bidding Exercise,2014-11-19,2014,Cat B (Cars above 1600cc or 97kW),570,72890,900,560,281213.0,1640.0,1449.0,110.747,99.94,89.091,0.5,-0.5,-3.8
December 2014 First Open Bidding Exercise,2014-12-03,2014,Cat B (Cars above 1600cc or 97kW),584,74389,873,582,281083.0,1589.0,1719.0,110.765,99.407,82.965,0.0,-0.5,-6.9
December 2014 Second Open Bidding Exercise,2014-12-17,2014,Cat B (Cars above 1600cc or 97kW),579,74000,755,572,281083.0,1589.0,1719.0,110.765,99.407,82.965,0.0,-0.5,-6.9
January 2015 First Open Bidding Exercise,2015-01-07,2015,Cat B (Cars above 1600cc or 97kW),571,75289,833,570,280960.0,1972.0,2095.0,111.423,98.289,77.068,0.6,-1.1,-7.1
January 2015 Second Open Bidding Exercise,2015-01-21,2015,Cat B (Cars above 1600cc or 97kW),576,76889,915,576,280960.0,1972.0,2095.0,111.423,98.289,77.068,0.6,-1.1,-7.1
February 2015 First Open Bidding Exercise,2015-02-04,2015,Cat B (Cars above 1600cc or 97kW),724,70890,959,723,281075.0,1589.0,1474.0,108.314,98.214,80.501,-2.8,-0.1,4.5
February 2015 Second Open Bidding Exercise,2015-02-17,2015,Cat B (Cars above 1600cc or 97kW),722,66751,1037,721,281075.0,1589.0,1474.0,108.314,98.214,80.501,-2.8,-0.1,4.5
March 2015 First Open Bidding Exercise,2015-03-04,2015,Cat B (Cars above 1600cc or 97kW),723,68668,1239,723,280617.0,1958.0,2416.0,110.384,99.864,89.257,1.9,1.7,10.9
