Date,Category A Population,Category B Population,Category A Registration,Category B Registration,Category A Deregistration,Category B Deregistration
2021 Sep,"321,025","322,072","1,484","2,403","1,039","1,240"
2021 Aug,"320,580","320,909","1,251","2,241","1,256","1,336"
2021 Jul,"320,585","320,004","1,598","1,809","1,249","1,332"
2021 Jun,"320,236","319,527","1,932","2,484","1,864","1,680"
2021 May,"320,168","318,723","1,519","2,240","1,872","1,798"
2021 Apr,"320,521","318,281","1,683","2,348","1,607","1,647"
2021 Mar,"320,445","317,580","1,888","2,694","1,918","1,804"
2021 Feb,"320,475","316,690","1,537","2,099","1,268","1,198"
2021 Jan,"320,206","315,789","2,452","2,799","1,383","1,427"
2020 Dec,"319,137","314,417","1,291","2,614","1,425","1,590"
2020 Nov,"319,271","313,393","1,819","2,840","1,506","1,582"
2020 Oct,"318,958","312,135","2,091","2,650","1,518","1,659"
2020 Sep,"318,385","311,144","1,978","2,578","1,537","1,705"
2020 Aug,"317,944","310,271","2,277","2,897","1,750","1,790"
2020 Jul,"317,417","309,164","1,909","2,912","1,697","1,762"
2020 Jun,"317,205","308,014",449,612,"1,756","1,599"
2020 May,"318,512","309,001",13,34,"1,184",852
2020 Apr,"319,683","309,819",263,419,"1,707","1,394"
2020 Mar,"321,127","310,794","2,250","2,732","2,397","2,279"
2020 Feb,"321,274","310,341","2,028","2,630","1,778","2,030"
2020 Jan,"321,024","309,741","2,160","2,861","2,239","2,111"
2019 Dec,"321,103","308,991","2,156","2,550","2,145","2,270"
2019 Nov,"321,092","308,711","2,447","2,622","2,143","2,126"
2019 Oct,"320,788","308,215","2,202","2,812","2,192","2,127"
2019 Sep,"320,778","307,530","2,567","3,004","2,146","2,103"
2019 Aug,"320,357","306,629","2,390","2,705","2,176","2,123"
2019 Jul,"320,143","306,047","3,658","3,327","2,450","2,510"
2019 Jun,"318,935","305,230","3,188","2,961","2,001","2,262"
2019 May,"317,748","304,531","3,567","2,738","2,316","2,265"
2019 Apr,"316,497","304,058","3,920","2,938","2,724","2,412"
2019 Mar,"315,301","303,532","3,573","3,642","3,477","2,891"
2019 Feb,"315,205","302,781","2,408","2,594","2,570","2,160"
2019 Jan,"315,367","302,347","4,111","4,138","3,438","2,534"
2018 Dec,"314,694","300,743","2,930","3,714","3,465","2,661"
2018 Nov,"315,229","299,690","3,238","3,523","3,872","2,688"
2018 Oct,"315,863","298,855","3,018","3,719","3,656","2,634"
2018 Sep,"316,501","297,770","2,887","3,280","3,886","2,556"
2018 Aug,"317,500","297,046","2,721","3,208","4,001","2,749"
2018 Jul,"318,780","296,587","2,059","3,207","4,213","2,916"
2018 Jun,"320,934","296,296","5,927","4,528","3,823","2,757"
2018 May,"318,830","294,525","3,889","3,523","3,653","2,873"
2018 Apr,"318,594","293,875","3,342","3,615","3,604","2,783"
2018 Mar,"318,856","293,043","3,674","3,313","3,310","3,043"
2018 Feb,"318,492","292,773","2,668","2,541","2,458","2,238"
2018 Jan,"318,282","292,470","3,524","2,045","3,778","3,244"
2017 Dec,"318,536","293,669","4,369","5,748","3,440","3,261"
2017 Nov,"317,607","291,182","3,754","3,913","3,371","2,939"
2017 Oct,"317,224","290,208","3,416","3,730","3,554","3,055"
2017 Sep,"317,362","289,533","2,775","3,126","3,495","3,019"
2017 Aug,"318,082","289,426","3,746","3,970","3,720","2,945"
2017 Jul,"318,056","288,401","3,674","3,847","3,762","2,995"
2017 Jun,"318,144","287,549","4,189","4,055","3,886","2,813"
2017 May,"317,841","286,307","4,473","3,933","4,074","2,962"
2017 Apr,"317,442","285,336","3,672","3,114","3,914","2,585"
2017 Mar,"317,684","284,807","4,666","3,927","4,428","3,107"
2017 Feb,"317,446","283,987","3,647","2,501","3,588","2,570"
2017 Jan,"317,387","284,056","3,695","3,835","4,389","2,916"
2016 Dec,"318,081","283,137","3,735","3,040","4,513","2,853"
2016 Nov,"318,859","282,950","3,674","3,805","4,463","3,115"
2016 Oct,"319,648","282,260","4,247","3,511","4,475","2,875"
2016 Sep,"319,876","281,624","4,486","3,430","3,798","2,756"
2016 Aug,"319,188","280,950","4,229","2,889","4,027","2,666"
2016 Jul,"318,986","280,727","3,859","3,044","4,244","2,652"
2016 Jun,"319,371","280,335","4,847","3,254","4,064","2,712"
2016 May,"318,588","279,793","4,910","3,295","4,493","2,957"
2016 Apr,"318,171","279,455","3,997","3,180","4,575","3,011"
2016 Mar,"318,749","279,286","4,124","2,955","5,937","3,890"
2016 Feb,"320,562","280,221","3,239","2,488","4,105","2,579"
2016 Jan,"321,428","280,312","3,953","3,111","4,497","3,060"
2015 Dec,"321,972","280,261","3,676","2,688","4,580","2,683"
2015 Nov,"322,876","280,256","3,564","2,597","4,216","2,634"
2015 Oct,"323,528","280,293","3,667","2,428","4,496","2,529"
